date,close,cash,shares,position_value,equity
2025-03-21,972.0,950524.2714760001,0,0.0,950524.2714760001
2025-03-24,972.0,950524.2714760001,0,0.0,950524.2714760001
2025-03-25,990.0,950524.2714760001,0,0.0,950524.2714760001
2025-03-26,980.0,950524.2714760001,0,0.0,950524.2714760001
2025-03-27,958.0,950524.2714760001,0,0.0,950524.2714760001
2025-03-28,952.0,950524.2714760001,0,0.0,950524.2714760001
2025-03-31,910.0,950524.2714760001,0,0.0,950524.2714760001
2025-04-01,944.0,950524.2714760001,0,0.0,950524.2714760001
2025-04-02,942.0,950524.2714760001,0,0.0,950524.2714760001
2025-04-07,848.0,950524.2714760001,0,0.0,950524.2714760001
2025-04-08,816.0,950524.2714760001,0,0.0,950524.2714760001
2025-04-09,785.0,950524.2714760001,0,0.0,950524.2714760001
2025-04-10,863.0,950524.2714760001,0,0.0,950524.2714760001
2025-04-11,889.0,950524.2714760001,0,0.0,950524.2714760001
2025-04-14,865.0,950524.2714760001,0,0.0,950524.2714760001
2025-04-15,877.0,950524.2714760001,0,0.0,950524.2714760001
2025-04-16,855.0,950524.2714760001,0,0.0,950524.2714760001
2025-04-17,847.0,950524.2714760001,0,0.0,950524.2714760001
2025-04-18,850.0,950524.2714760001,0,0.0,950524.2714760001
2025-04-21,835.0,950524.2714760001,0,0.0,950524.2714760001
2025-04-22,816.0,950524.2714760001,0,0.0,950524.2714760001
2025-04-23,873.0,950524.2714760001,0,0.0,950524.2714760001
2025-04-24,864.0,950524.2714760001,0,0.0,950524.2714760001
2025-04-25,888.0,950524.2714760001,0,0.0,950524.2714760001
2025-04-28,897.0,950524.2714760001,0,0.0,950524.2714760001
2025-04-29,902.0,950524.2714760001,0,0.0,950524.2714760001
2025-04-30,908.0,950524.2714760001,0,0.0,950524.2714760001
2025-05-02,950.0,950524.2714760001,0,0.0,950524.2714760001
2025-05-05,938.0,950524.2714760001,0,0.0,950524.2714760001
2025-05-06,920.0,950524.2714760001,0,0.0,950524.2714760001
2025-05-07,928.0,950524.2714760001,0,0.0,950524.2714760001
2025-05-08,918.0,950524.2714760001,0,0.0,950524.2714760001
2025-05-09,949.0,950524.2714760001,0,0.0,950524.2714760001
2025-05-12,957.0,950524.2714760001,0,0.0,950524.2714760001
2025-05-13,969.0,950524.2714760001,0,0.0,950524.2714760001
2025-05-14,999.0,950524.2714760001,0,0.0,950524.2714760001
2025-05-15,993.0,950524.2714760001,0,0.0,950524.2714760001
2025-05-16,998.0,950524.2714760001,0,0.0,950524.2714760001
2025-05-19,984.0,950524.2714760001,0,0.0,950524.2714760001
2025-05-20,978.0,950524.2714760001,0,0.0,950524.2714760001
2025-05-21,990.0,950524.2714760001,0,0.0,950524.2714760001
2025-05-22,982.0,950524.2714760001,0,0.0,950524.2714760001
2025-05-23,984.0,950524.2714760001,0,0.0,950524.2714760001
2025-05-26,976.0,950524.2714760001,0,0.0,950524.2714760001
2025-05-27,965.0,950524.2714760001,0,0.0,950524.2714760001
